accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,jump,,,,0.7235633,-0.26481682,0.6005753,-0.21362945,3,rotation_vector,neutral,0.12175893783569336
,,,jump,-1.7154623,-0.9746355,1.9840903,,,,,3,gyroscope,neutral,0.12328600883483887
,,,jump,-1.5039502,-0.893085,2.071444,,,,,3,gyroscope,neutral,0.12512779235839844
-0.26108503,-3.208654,-3.2253065,jump,,,,,,,,3,linear_acceleration,neutral,0.1273188591003418
,,,jump,,,,0.7336344,-0.26696426,0.6040448,-0.16012672,3,rotation_vector,neutral,0.12997794151306152
,,,jump,,,,0.7381747,-0.26575142,0.6055102,-0.13353546,3,rotation_vector,neutral,0.1324300765991211
0.25012207,-3.242484,-3.0082335,jump,,,,,,,,3,linear_acceleration,neutral,0.13492083549499512
,,,jump,,,,0.74183553,-0.26490903,0.60669345,-0.10689415,3,rotation_vector,neutral,0.13695979118347168
,,,jump,-1.4295774,-0.8712466,2.1410828,,,,,3,gyroscope,neutral,0.13998985290527344
,,,jump,-1.5447255,-0.7386888,2.0457878,,,,,3,gyroscope,neutral,0.14209771156311035
0.30770397,-3.2797947,-2.891615,jump,,,,,,,,3,linear_acceleration,neutral,0.14406275749206543
,,,jump,,,,0.7449647,-0.26514626,0.6096842,-0.054865003,3,rotation_vector,neutral,0.1463479995727539
-0.23620415,-3.681119,-2.8715,jump,,,,,,,,3,linear_acceleration,neutral,0.14805865287780762
,,,jump,-1.5592335,-0.6432411,1.9556851,,,,,3,gyroscope,neutral,0.14924383163452148
,,,jump,,,,0.7440055,-0.26484832,0.6081392,-0.08048528,3,rotation_vector,neutral,0.1514890193939209
,,,jump,-1.3859005,-0.6058256,1.8481728,,,,,3,gyroscope,neutral,0.1535179615020752
,,,jump,,,,0.7468433,-0.2619109,0.6111585,-0.01064364,3,rotation_vector,neutral,0.1560959815979004
0.21769619,-4.4853716,-1.4704157,jump,,,,,,,,3,linear_acceleration,neutral,0.1572437286376953
-0.44735432,-4.321572,-2.2654984,jump,,,,,,,,3,linear_acceleration,neutral,0.15902304649353027
,,,jump,,,,0.7456677,-0.264652,0.61070913,-0.031200053,3,rotation_vector,neutral,0.16150593757629395
,,,jump,-0.47403142,-0.35720345,1.5054774,,,,,3,gyroscope,neutral,0.16397690773010254
,,,jump,,,,0.74855554,-0.25254983,0.61275095,0.020484108,3,rotation_vector,neutral,0.16675400733947754
1.8951077,-4.1298966,-1.1709371,jump,,,,,,,,3,linear_acceleration,neutral,0.16980695724487305
,,,jump,,,,0.7480033,-0.25714397,0.6118218,0.0065065594,3,rotation_vector,neutral,0.17151188850402832
2.4760695,-3.3269968,-0.75028896,jump,,,,,,,,3,linear_acceleration,neutral,0.17374777793884277
,,,jump,,,,0.74573666,-0.28766367,0.6007371,0.015536836,3,rotation_vector,neutral,0.17580795288085938
,,,jump,-0.34865135,-0.2828306,1.4219415,,,,,3,gyroscope,neutral,0.1779167652130127
,,,jump,-0.2759584,-0.19883664,1.3388638,,,,,3,gyroscope,neutral,0.18031978607177734
3.855424,-3.502206,-0.28502524,jump,,,,,,,,3,linear_acceleration,neutral,0.18178200721740723
,,,jump,,,,0.7454762,-0.29311258,0.59861094,0.0039158305,3,rotation_vector,neutral,0.18302583694458008
,,,jump,-0.39584067,-0.12690726,1.1693488,,,,,3,gyroscope,neutral,0.18546199798583984
5.3755956,-3.4518797,-0.28592914,jump,,,,,,,,3,linear_acceleration,neutral,0.18748188018798828
,,,jump,,,,0.74301565,-0.28391263,0.60490453,0.037576064,3,rotation_vector,neutral,0.18902802467346191
,,,jump,,,,0.7451193,-0.28369784,0.6029897,0.026764514,3,rotation_vector,neutral,0.1904299259185791
,,,jump,-0.70539665,-0.038789943,0.8950703,,,,,3,gyroscope,neutral,0.1912539005279541
6.554864,-3.7432601,-0.18179941,jump,,,,,,,,3,linear_acceleration,neutral,0.19288396835327148
,,,jump,-0.9195049,0.011759156,0.61376685,,,,,3,gyroscope,neutral,0.20003700256347656
,,,jump,,,,0.73997706,-0.2875634,0.6062071,0.04747944,3,rotation_vector,neutral,0.20568084716796875
7.407576,-4.3043356,0.20666969,jump,,,,,,,,3,linear_acceleration,neutral,0.20755887031555176
,,,jump,-0.8575021,0.041996986,0.35185838,,,,,3,gyroscope,neutral,0.20950078964233398
8.265005,-4.479306,0.6589001,jump,,,,,,,,3,linear_acceleration,neutral,0.21257686614990234
,,,jump,,,,0.73708785,-0.29213792,0.6069157,0.05486729,3,rotation_vector,neutral,0.21448993682861328
,,,jump,,,,0.73465794,-0.29692498,0.60717285,0.058774203,3,rotation_vector,neutral,0.21731781959533691
9.518654,-4.0008755,0.9962424,jump,,,,,,,,3,linear_acceleration,neutral,0.21962690353393555
,,,jump,,,,0.732488,-0.3028371,0.6067983,0.059555855,3,rotation_vector,neutral,0.22115492820739746
9.067161,-4.3310194,1.1314125,jump,,,,,,,,3,linear_acceleration,neutral,0.22286295890808105
,,,jump,-0.6733262,0.084146686,0.06627888,,,,,3,gyroscope,neutral,0.22404074668884277
,,,jump,-0.5656612,0.122020334,-0.24495697,,,,,3,gyroscope,neutral,0.2251758575439453
9.980179,-3.3790545,0.5063685,jump,,,,,,,,3,linear_acceleration,neutral,0.2413928508758545
,,,jump,,,,0.72529125,-0.32217792,0.6055334,0.05901968,3,rotation_vector,neutral,0.24139881134033203
,,,jump,-0.6452264,0.19730948,-0.46746463,,,,,3,gyroscope,neutral,0.24274182319641113
,,,jump,-0.9653198,0.27947086,-0.6429357,,,,,3,gyroscope,neutral,0.24563384056091309
,,,jump,,,,0.72967154,-0.3107579,0.60623986,0.059010442,3,rotation_vector,neutral,0.24765586853027344
,,,jump,-1.4085026,0.32818735,-0.71685034,,,,,3,gyroscope,neutral,0.3647279739379883
-10.272224,-57.904522,0.42017293,jump,,,,,,,,3,linear_acceleration,neutral,0.37827086448669434
-24.319921,-63.3023,-1.4116757,jump,,,,,,,,3,linear_acceleration,neutral,0.3782777786254883
10.418942,-3.2839553,0.7285783,jump,,,,,,,,3,linear_acceleration,neutral,0.3782827854156494
,,,jump,4.598899,-1.3860532,-11.324372,,,,,3,gyroscope,neutral,0.37828707695007324
,,,jump,,,,0.7411431,-0.31667456,0.30381435,-0.5080561,3,rotation_vector,neutral,0.37829089164733887
-70.51521,-43.53398,-17.874363,jump,,,,,,,,3,linear_acceleration,neutral,0.3782949447631836
-37.80334,-14.560505,-18.23401,jump,,,,,,,,3,linear_acceleration,neutral,0.3782980442047119
,,,jump,,,,0.58990115,-0.12393346,-0.005353076,-0.79789,3,rotation_vector,neutral,0.37830090522766113
-54.597645,-24.383234,-18.410625,jump,,,,,,,,3,linear_acceleration,neutral,0.37830495834350586
,,,jump,-1.2744176,0.32727104,-0.7162395,,,,,3,gyroscope,neutral,0.3783080577850342
,,,jump,,,,0.7205614,-0.33869845,0.60233486,0.0571615,3,rotation_vector,neutral,0.3802499771118164
10.6039295,-7.9506607,5.382769,jump,,,,,,,,3,linear_acceleration,neutral,0.38228869438171387
,,,jump,,,,0.71405905,-0.3536022,0.60130763,0.059282105,3,rotation_vector,neutral,0.384340763092041
