timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
263999860000000,0.0,0.0,0.0,0.0,0.0,0.0,0.50710505,0.5085262,0.40232888,-0.5677825
263999900000000,-0.63891697,-2.2884521,-2.2745414,-4.8580585,-0.73624533,0.622319,0.58723396,0.4251197,0.4609935,-0.51177585
263999920000000,1.4388514,-1.3911431,-2.2450047,0.0,0.0,0.0,0.6130356,0.39643344,0.4776372,-0.48876452
263999940000000,0.0,0.0,0.0,-4.26277,-0.3726278,0.40485093,0.6314067,0.3716616,0.49444744,-0.46766979
263999960000000,-0.2518463,-0.6404315,-2.3419056,0.0,0.0,0.0,1.0,0.0,0.0,0.0
263999980000000,-0.08509922,-0.89420086,-1.421184,-4.125173,-0.743423,0.2919936,0.6496036,0.32332712,0.5439204,-0.42145616
264000000000000,-0.7109432,-1.9233209,-1.5586481,-3.2093332,-0.66446865,0.4196644,0.66766185,0.29435134,0.55520236,-0.39916825
264000020000000,0.4257536,-1.119956,-1.5744225,-2.766456,-0.462425,0.41920626,0.6816095,0.27280462,0.56201905,-0.38094723
264000040000000,0.46777916,-0.4364583,-1.7102937,-2.7840183,-0.5002986,0.4185954,0.69256824,0.25522107,0.56812316,-0.36393335
264000060000000,0.0,0.0,0.0,0.0,0.0,0.0,0.6956045,0.23946078,0.5816957,-0.3470202
264000080000000,0.07979298,-0.73868793,-1.7106746,-3.2293391,-0.4802928,0.58062744,0.70439774,0.22069132,0.5893291,-0.32834494
264000100000000,0.0,0.0,0.0,-3.909843,-0.4007276,0.6534731,0.7152988,0.19983697,0.5955031,-0.3062498
264000120000000,0.18829536,-0.32973468,-2.259446,-4.8864636,-0.41233405,0.69058317,0.7255955,0.17480482,0.60434693,-0.27878198
264000140000000,0.05577278,-0.3221028,-2.3231034,0.0,0.0,0.0,0.7337977,0.14385924,0.6168269,-0.24570324
264000160000000,-0.26899815,-1.1067591,-2.4357018,0.0,0.0,0.0,0.7435264,0.103868164,0.62761885,-0.20609371
264000180000000,-0.25354862,-2.0170588,-2.717232,0.0,0.0,0.0,0.7525052,0.060778122,0.6351201,-0.16329269
264000200000000,-0.25667286,-2.4878788,-3.057424,-7.1451383,-0.56184334,0.5691737,0.7588262,0.012792018,0.64083254,-0.11555394
264000220000000,-0.16314316,-2.67834,-3.4577782,-7.2686853,-0.68951416,0.4885395,0.76180756,-0.03799322,0.64330375,-0.06607634
264000240000000,0.120975494,-2.8185098,-3.7704577,0.0,0.0,0.0,0.76167285,-0.090644285,0.64140713,-0.015333552
264000260000000,0.37489986,-2.9628465,-3.7239633,0.0,0.0,0.0,0.7582671,-0.14226808,0.6353736,0.033033624
264000280000000,0.6330795,-2.7139058,-3.7026968,-6.393316,-0.8028296,0.22892176,0.7513483,-0.1908318,0.62704384,0.07664745
264000300000000,0.7224817,-2.1447105,-3.7796936,-6.3746843,-0.8374963,0.21975878,0.7393753,-0.23879167,0.61883587,0.11552008
264000320000000,0.82753086,-1.7197556,-3.7707229,0.0,0.0,0.0,0.72178394,-0.28785032,0.6109547,0.15134232
264000340000000,0.970953,-1.4318936,-3.4238038,-6.6955414,-0.7809912,-0.01863139,1.0,0.0,0.0,0.0
264000360000000,0.36529636,-1.5318658,-3.3420947,-6.622848,-0.7693848,-0.15714508,0.67671734,-0.38555297,0.5859276,0.22381106
264000380000000,-0.9991331,-1.5579445,-3.4461708,0.0,0.0,0.0,1.0,0.0,0.0,0.0
264000400000000,0.0,0.0,0.0,-5.9316545,-1.6369661,-0.0936151,0.6329306,-0.46694046,0.53864855,0.30203187
264000420000000,0.79121685,-1.1728609,-3.6491737,0.0,0.0,0.0,1.0,0.0,0.0,0.0
264000440000000,0.0,0.0,0.0,-4.8721085,-0.97509366,-0.43951756,0.5920805,-0.5291436,0.48020706,0.3726244
264000460000000,0.02520752,-1.156239,-3.6479874,-4.136321,-1.0650436,-0.45799622,0.5717827,-0.55607414,0.45345157,0.39777854
264000480000000,0.0,0.0,0.0,0.0,0.0,0.0,0.55518776,-0.5769257,0.42852405,0.41867703
264000500000000,-2.2507,0.77373874,-5.0573974,-4.412127,-1.8868101,-0.06841691,0.5389131,-0.59311193,0.39987496,0.4448493
264000520000000,-0.20021248,0.47392797,-5.129498,-4.6277623,-1.7075211,-0.14630222,0.5199689,-0.6078506,0.36914226,0.47316372
264000540000000,0.90083313,0.0099236965,-4.1881323,-4.557666,-1.5092953,-0.29520062,0.4925737,-0.63107723,0.340239,0.49330533
264000560000000,0.68832684,0.58085084,-3.46274,-4.6083674,-1.5112807,-0.4240932,0.46144792,-0.65694183,0.31783554,0.50445396
264000580000000,0.4874897,1.37503,-3.6880271,-4.763985,-1.5265522,-0.50518554,1.0,0.0,0.0,0.0
264000600000000,0.77889156,1.4014428,-3.4625678,-4.76368,-1.4291192,-0.5645922,0.39517397,-0.70003897,0.26145566,0.53425086
264000620000000,0.93745136,0.90699637,-3.1452346,-4.6089783,-1.3538301,-0.636827,0.360738,-0.71964824,0.22823988,0.54761404
264000640000000,0.953804,0.612,-2.7549558,-4.448015,-1.30435,-0.6959282,0.33253983,-0.7329453,0.19620197,0.5601011
264000660000000,0.98764896,1.0668403,-2.7032351,-4.4009786,-1.2463179,-0.73792523,0.3018089,-0.74322873,0.15905355,0.575521
264000680000000,1.0578575,1.2566705,-2.6501322,-4.344168,-1.1453724,-0.7834347,0.27466902,-0.75062144,0.12528567,0.5877312
264000700000000,0.0,0.0,0.0,0.0,0.0,0.0,0.2434294,-0.7590142,0.08805356,0.5973995
264000720000000,0.27760983,0.622556,-2.1868029,-4.044386,-0.9812023,-0.85154617,0.21688847,-0.7649608,0.055756234,0.6038921
264000740000000,-0.9949713,0.8886876,-2.28944,-3.9799397,-1.0974194,-0.7826711,0.1878919,-0.7673965,0.018445518,0.6127471
264000760000000,-1.6405792,1.0301676,-2.4642339,-4.113872,-1.2357804,-0.70463306,0.16232534,-0.76766145,-0.013834455,0.6198024
