timestamp,sensor,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_x,rot_y,rot_z,rot_w
216368017388494,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216367987473752,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368037346917,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368027360077,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368047333757,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368087235341,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368077271390,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368107163246,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368176987203,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368147049571,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368167007992,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368117134827,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368117134827,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368137077988,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368157028781,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368196937994,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368256698818,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368296653808,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368386428559,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368396407769,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368436294094,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368206909575,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368196937994,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368216881156,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368236801432,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368246750125,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368286651710,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368276649611,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368296653808,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368276649611,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368306655908,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368316627489,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368326599069,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368366485394,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368376456975,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368446242787,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368456191480,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368456191480,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368426345401,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368486129112,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368536055684,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368516097263,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368506118052,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368556006477,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368536055684,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368556006477,rotation_vector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368575949638,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368595892801,linear_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368585921221,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216368645735450,gyroscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
