accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
11.494323,-24.842165,-23.85009,punch,,,,,,,,25,linear_acceleration,combat,0.4696011543273926
,,,punch,,,,0.2536678,-0.2732685,0.61154276,-0.6978485,25,rotation_vector,combat,0.47225093841552734
39.23967,-12.878357,-15.919945,punch,,,,,,,,25,linear_acceleration,combat,0.47351717948913574
,,,punch,-12.5012045,-6.7184486,4.266894,,,,,25,gyroscope,combat,0.47464609146118164
,,,punch,-0.7855727,4.643034,-2.0621283,,,,,25,gyroscope,combat,0.4772522449493408
,,,punch,,,,0.17315473,-0.24823378,0.6379053,-0.7081485,25,rotation_vector,combat,0.47958898544311523
,,,punch,,,,0.16350226,-0.23565893,0.6145821,-0.734861,25,rotation_vector,combat,0.48099589347839355
-6.220345,-11.469561,0.5413297,punch,,,,,,,,25,linear_acceleration,combat,0.4830760955810547
,,,punch,-3.6812267,3.3017266,-3.8253908,,,,,25,gyroscope,combat,0.48464107513427734
,,,punch,,,,0.20984975,-0.21679199,0.5520419,-0.77731216,25,rotation_vector,combat,0.48662304878234863
5.519145,6.941184,-5.698331,punch,,,,,,,,25,linear_acceleration,combat,0.4885718822479248
-5.3003645,1.2068062,-1.2772261,punch,,,,,,,,25,linear_acceleration,combat,0.49140501022338867
,,,punch,6.5700083,-0.44028112,0.4605924,,,,,25,gyroscope,combat,0.4943840503692627
,,,punch,,,,0.23541343,-0.21412484,0.5241716,-0.78992105,25,rotation_vector,combat,0.49634695053100586
-2.6411476,-5.3183317,1.5461009,punch,,,,,,,,25,linear_acceleration,combat,0.4994010925292969
,,,punch,1.6751453,-0.95325524,0.5737552,,,,,25,gyroscope,combat,0.5011839866638184
,,,punch,,,,0.21953215,-0.21408272,0.5446933,-0.7805661,25,rotation_vector,combat,0.5024850368499756
-3.2722862,-3.960122,0.8921261,punch,,,,,,,,25,linear_acceleration,combat,0.5617101192474365
,,,punch,-1.0865766,0.35811976,-0.64934975,,,,,25,gyroscope,combat,0.5617191791534424
,,,punch,,,,0.2004231,-0.21412411,0.54975706,-0.78214365,25,rotation_vector,combat,0.5617239475250244
,,,punch,0.86590147,-0.042913284,-0.43799037,,,,,25,gyroscope,combat,0.5617291927337646
,,,punch,,,,0.2159725,-0.2174263,0.54197854,-0.78252226,25,rotation_vector,combat,0.564906120300293
-0.9573543,-0.24413872,-0.96439004,punch,,,,,,,,25,linear_acceleration,combat,0.567878007888794
,,,punch,,,,0.22199966,-0.20992208,0.5491441,-0.777875,25,rotation_vector,combat,0.5701930522918701
,,,punch,0.7699956,0.17058411,-0.7470882,,,,,25,gyroscope,combat,0.5721468925476074
,,,punch,,,,0.21334079,-0.2119098,0.5458225,-0.7820856,25,rotation_vector,combat,0.574228048324585
,,,punch,-0.2060143,0.48395798,-0.9975429,,,,,25,gyroscope,combat,0.5754220485687256
-0.6929719,1.37356,-1.1693006,punch,,,,,,,,25,linear_acceleration,combat,0.5767779350280762
-1.1191742,0.8331127,-0.091478825,punch,,,,,,,,25,linear_acceleration,combat,0.5783829689025879
,,,punch,-0.72295904,0.61254513,-1.067487,,,,,25,gyroscope,combat,0.7035751342773438
-0.828022,0.13486958,0.7524302,punch,,,,,,,,25,linear_acceleration,combat,0.7075650691986084
,,,punch,,,,0.18887116,-0.21400696,0.5538808,-0.78214115,25,rotation_vector,combat,0.7099430561065674
-0.9591918,0.30643463,0.6695533,punch,,,,,,,,25,linear_acceleration,combat,0.7118630409240723
,,,punch,,,,0.17825797,-0.20915014,0.5547165,-0.78534704,25,rotation_vector,combat,0.7129521369934082
,,,punch,-0.7890852,0.68768156,-1.223105,,,,,25,gyroscope,combat,0.7151789665222168
,,,punch,-0.7492262,0.9615019,-1.5833627,,,,,25,gyroscope,combat,0.7174510955810547
,,,punch,,,,0.13883348,-0.20300244,0.5578135,-0.79269135,25,rotation_vector,combat,0.7188320159912109
-2.888891,0.8171549,0.5785692,punch,,,,,,,,25,linear_acceleration,combat,0.7207109928131104
,,,punch,,,,0.16418846,-0.20160553,0.5565679,-0.78906876,25,rotation_vector,combat,0.7223739624023438
,,,punch,-0.59513545,1.248914,-2.0132592,,,,,25,gyroscope,combat,0.7246222496032715
-1.5334009,0.2480917,0.61864614,punch,,,,,,,,25,linear_acceleration,combat,0.7266252040863037
,,,punch,-0.33337972,1.3501649,-2.2869267,,,,,25,gyroscope,combat,0.729668140411377
,,,punch,-0.4175264,1.3307699,-2.4478898,,,,,25,gyroscope,combat,0.7327890396118164
-4.003816,1.2453947,-1.1705468,punch,,,,,,,,25,linear_acceleration,combat,0.735152006149292
,,,punch,,,,0.11204828,-0.20596242,0.55680007,-0.7968679,25,rotation_vector,combat,0.7378969192504883
-4.8053565,1.4232078,-2.6333394,punch,,,,,,,,25,linear_acceleration,combat,0.7391839027404785
,,,punch,,,,0.08235159,-0.20966819,0.55820066,-0.7985422,25,rotation_vector,combat,0.7418160438537598
,,,punch,,,,0.04473892,-0.21389669,0.5654375,-0.79531574,25,rotation_vector,combat,0.7792220115661621
,,,punch,-1.3640621,1.5018122,-3.4090862,,,,,25,gyroscope,combat,0.7797961235046387
-7.717115,-0.34165096,-1.5288966,punch,,,,,,,,25,linear_acceleration,combat,0.7798118591308594
,,,punch,,,,0.0038278545,-0.21631974,0.57647127,-0.78795433,25,rotation_vector,combat,0.782764196395874
,,,punch,-1.8649716,1.847562,-3.368311,,,,,25,gyroscope,combat,0.7841360569000244
-6.0415125,0.7686634,-2.2267594,punch,,,,,,,,25,linear_acceleration,combat,0.7860591411590576
,,,punch,-1.0844386,1.5693128,-2.7995954,,,,,25,gyroscope,combat,0.7884218692779541
-7.3709354,-1.8372822,-2.2967253,punch,,,,,,,,25,linear_acceleration,combat,0.7908151149749756
,,,punch,,,,0.0731267,0.23124744,-0.5819035,0.7762509,25,rotation_vector,combat,0.7933619022369385
-8.353508,-1.0469828,-1.6925718,punch,,,,,,,,25,linear_acceleration,combat,0.7955799102783203
,,,punch,-1.9790506,1.8003726,-3.6265543,,,,,25,gyroscope,combat,0.7977249622344971
,,,punch,,,,0.037582397,0.22352876,-0.58222467,0.78079253,25,rotation_vector,combat,0.7998888492584229
,,,punch,,,,0.099895306,0.22845209,-0.58586156,0.77110106,25,rotation_vector,combat,0.8693609237670898
-1.4701748,0.8586154,-3.026268,punch,,,,,,,,25,linear_acceleration,combat,0.8737800121307373
,,,punch,-0.7480045,1.4401149,-3.377932,,,,,25,gyroscope,combat,0.8746581077575684
-6.2945957,-1.5495987,-2.074055,punch,,,,,,,,25,linear_acceleration,combat,0.8759610652923584
,,,punch,-0.8881981,1.4104879,-3.278972,,,,,25,gyroscope,combat,0.8779919147491455
,,,punch,,,,0.13471209,0.23735745,-0.5823106,0.7657862,25,rotation_vector,combat,0.880882978439331
-5.532264,-0.64226055,-2.7007332,punch,,,,,,,,25,linear_acceleration,combat,0.8822851181030273
,,,punch,-0.8020661,0.93874717,-3.239571,,,,,25,gyroscope,combat,0.8834331035614014
,,,punch,-0.9424124,0.4784602,-2.8961122,,,,,25,gyroscope,combat,0.8850529193878174
,,,punch,,,,0.16365257,0.24914321,-0.5806965,0.75758636,25,rotation_vector,combat,0.8863339424133301
-3.5382822,0.44508886,-2.6328595,punch,,,,,,,,25,linear_acceleration,combat,0.8887810707092285
,,,punch,,,,0.18864088,0.26021942,-0.5807145,0.7479781,25,rotation_vector,combat,0.8912630081176758
,,,punch,-1.1901182,0.6626361,-2.3871086,,,,,25,gyroscope,combat,0.8927528858184814
-0.8706498,0.047445774,-2.833292,punch,,,,,,,,25,linear_acceleration,combat,0.8951492309570312
,,,punch,,,,0.23630004,0.27332798,-0.5832039,0.72754884,25,rotation_vector,combat,0.897819995880127
-0.6784439,0.9940467,-0.7435429,punch,,,,,,,,25,linear_acceleration,combat,0.9006941318511963
,,,punch,,,,0.21294239,0.26800978,-0.5813267,0.73816365,25,rotation_vector,combat,0.9016509056091309
,,,punch,-0.96791595,0.47632217,-2.5877779,,,,,25,gyroscope,combat,0.9026520252227783
3.625884,1.6955156,-0.40640044,punch,,,,,,,,25,linear_acceleration,combat,0.955535888671875
7.549708,1.3233414,2.9264848,punch,,,,,,,,25,linear_acceleration,combat,0.9555442333221436
,,,punch,-0.61437774,-0.46471575,-0.62873304,,,,,25,gyroscope,combat,0.9555480480194092
,,,punch,,,,0.25215366,0.28221056,-0.58591443,0.71657515,25,rotation_vector,combat,0.9555530548095703
,,,punch,,,,0.2577166,0.29165992,-0.5895555,0.70777184,25,rotation_vector,combat,0.9575791358947754
0.8050089,1.4610767,-0.46629155,punch,,,,,,,,25,linear_acceleration,combat,0.9590270519256592
,,,punch,-0.8503244,-0.42119157,-1.3581061,,,,,25,gyroscope,combat,0.9604060649871826
,,,punch,-1.1585059,0.36025777,-1.9448422,,,,,25,gyroscope,combat,0.9621970653533936
,,,punch,-0.65087694,-0.5856671,-0.8906415,,,,,25,gyroscope,combat,0.9688661098480225
,,,punch,,,,0.2615755,0.29768977,-0.5932251,0.7007447,25,rotation_vector,combat,0.9707410335540771
,,,punch,,,,0.26345783,0.30326498,-0.59622216,0.6950824,25,rotation_vector,combat,0.9715521335601807
6.4821954,1.6798697,1.8411705,punch,,,,,,,,25,linear_acceleration,combat,0.9735329151153564
,,,punch,-0.1965459,-0.7182248,-0.37950003,,,,,25,gyroscope,combat,1.0402240753173828
,,,punch,0.2932153,-0.5946773,0.34055737,,,,,25,gyroscope,combat,1.041646957397461
7.5704565,1.2897649,1.3248513,punch,,,,,,,,25,linear_acceleration,combat,1.041849136352539
,,,punch,,,,0.25210214,0.3172303,-0.5978337,0.6916678,25,rotation_vector,combat,1.0430841445922852
8.247436,2.4706984,2.4804134,punch,,,,,,,,25,linear_acceleration,combat,1.0451080799102783
,,,punch,,,,0.25924686,0.31087315,-0.5973076,0.6923674,25,rotation_vector,combat,1.0479249954223633
,,,punch,0.22861631,-0.93859446,-0.031001411,,,,,25,gyroscope,combat,1.0508291721343994
,,,punch,,,,0.24652466,0.31968844,-0.5991052,0.6914463,25,rotation_vector,combat,1.0539159774780273
