accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
-0.7066717,1.489844,0.44348526,turn,,,,,,,,8,linear_acceleration,travel,0.16735482215881348
-0.8285017,-2.1152172,-0.68708944,turn,,,,,,,,8,linear_acceleration,travel,0.16871309280395508
0.845178,0.19164991,-0.39884758,turn,,,,,,,,8,linear_acceleration,travel,0.16872000694274902
,,,turn,-0.01740966,0.03940081,0.0096211275,,,,,8,gyroscope,travel,0.16872501373291016
0.906278,0.31346607,-0.34333897,turn,,,,,,,,8,linear_acceleration,travel,0.16872882843017578
0.46941876,0.18769121,-0.36498737,turn,,,,,,,,8,linear_acceleration,travel,0.17191004753112793
0.06674516,-0.26890945,-0.9798074,turn,,,,,,,,8,linear_acceleration,travel,0.175400972366333
0.14206922,-0.20370865,-0.7119918,turn,,,,,,,,8,linear_acceleration,travel,0.179534912109375
,,,turn,,,,0.91381496,0.3965313,-0.08732813,-0.008888856,8,rotation_vector,travel,0.1838090419769287
0.06631899,0.28718948,-0.6448908,turn,,,,,,,,8,linear_acceleration,travel,0.1873319149017334
0.19137573,0.49383974,-0.5677328,turn,,,,,,,,8,linear_acceleration,travel,0.19051408767700195
,,,turn,,,,0.9152951,0.39484593,-0.079351984,-0.005902669,8,rotation_vector,travel,0.19374394416809082
0.25675273,0.7218356,-0.57107306,turn,,,,,,,,8,linear_acceleration,travel,0.19733691215515137
,,,turn,,,,0.1667828,0.57579005,0.3481663,-0.7207147,8,rotation_vector,travel,0.19734406471252441
0.15209389,-0.19861197,-0.5964146,turn,,,,,,,,8,linear_acceleration,travel,0.19969415664672852
,,,turn,,,,0.9164698,0.3940423,-0.06938135,4.521269e-05,8,rotation_vector,travel,0.19970011711120605
0.40044463,0.84718513,-0.6388712,turn,,,,,,,,8,linear_acceleration,travel,0.2019970417022705
-3.4118173,-0.074700356,-3.9793406,turn,,,,,,,,8,linear_acceleration,travel,0.2049250602722168
,,,turn,-0.07147124,0.4625777,0.111177474,,,,,8,gyroscope,travel,0.20492911338806152
,,,turn,-0.12064589,0.5213735,0.1366811,,,,,8,gyroscope,travel,0.20646882057189941
,,,turn,,,,0.91708237,0.39326704,-0.06551443,0.0029762138,8,rotation_vector,travel,0.2128739356994629
0.41766334,0.94019365,-0.63242006,turn,,,,,,,,8,linear_acceleration,travel,0.24604082107543945
,,,turn,-0.15851954,0.55481833,0.16294831,,,,,8,gyroscope,travel,0.2696530818939209
0.34247434,0.28368807,0.034257412,turn,,,,,,,,8,linear_acceleration,travel,0.2846510410308838
0.254678,0.58147764,-0.34612846,turn,,,,,,,,8,linear_acceleration,travel,0.3012990951538086
,,,turn,,,,0.919599,0.3617061,0.08150715,0.12985775,8,rotation_vector,travel,0.30133700370788574
