timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
263897200000000,0.0,0.0,0.0,0.10140363,0.14844026,0.28878653,0.24644767,0.6211702,0.22401688,-0.7093854
263897220000000,0.0,0.0,0.0,-0.09682214,0.070554934,0.35155296,1.0,0.0,0.0,0.0
263897240000000,-0.16435623,-0.08086247,0.24352622,-0.18845193,0.054519724,0.39568797,0.2503841,0.6242629,0.2204269,-0.70641047
263897260000000,-0.1963129,-0.20837402,0.5443636,0.0,0.0,0.0,0.25440145,0.6249359,0.21951847,-0.7046607
263897280000000,-0.38465023,0.0045126677,0.5644183,0.0,0.0,0.0,0.25832114,0.62580436,0.21843413,-0.7027984
263897300000000,-0.43138504,0.3101898,0.37742686,-0.7872526,-0.08170322,0.43020186,0.26358408,0.6258988,0.21851794,-0.70073116
263897320000000,-0.46409035,0.4159706,0.06490731,-1.0519099,-0.23411411,0.43692136,0.27180824,0.6240956,0.22124498,-0.69833785
263897340000000,-0.38780975,-0.15055496,-0.09362984,-0.9966267,-0.1826487,0.46563202,0.28216082,0.6203132,0.22538975,-0.6962732
263897360000000,0.0,0.0,0.0,0.0,0.0,0.0,0.2920042,0.6172176,0.22893387,-0.693805
263897380000000,-0.4555025,0.25986552,-0.12172377,0.0,0.0,0.0,0.30200326,0.61422753,0.23272252,-0.6909116
263897400000000,-0.25016117,0.66302294,-0.7791736,0.0,0.0,0.0,0.31524664,0.61013436,0.23856357,-0.6866172
263897420000000,0.0,0.0,0.0,-2.6143506,-0.2603813,0.77732605,0.33285818,0.60534453,0.24734892,-0.6793982
263897460000000,-0.7581892,0.08131325,-1.5254117,-3.552945,-0.2576324,0.903317,0.3796875,0.5863004,0.27473512,-0.66076463
263897500000000,0.0,0.0,0.0,-4.5906525,-0.23640485,0.97600996,0.43596768,0.5585986,0.31185943,-0.6329641
263897520000000,-0.59691906,0.14804226,-2.5516672,-5.2267156,-0.26633725,1.0309879,1.0,0.0,0.0,0.0
263897540000000,-0.29491043,0.012704015,-2.8376052,-6.0280185,-0.18875736,1.0045679,0.4976073,0.5242267,0.36431473,-0.5872378
263897560000000,0.0,0.0,0.0,-7.112762,-0.14660765,0.8573494,1.0,0.0,0.0,0.0
263897580000000,0.0,0.0,0.0,0.0,0.0,0.0,0.5645384,0.47432464,0.43653026,-0.5155131
263897600000000,-1.6955147,-1.8062313,-3.029738,-6.902014,-0.7461719,0.9860892,0.60646605,0.42924502,0.46697542,-0.4794597
263897620000000,-0.1782856,-1.9686451,-2.388231,-6.4843345,-0.4202753,0.926988,0.6324439,0.38778937,0.500888,-0.4458087
263897640000000,0.0,0.0,0.0,0.0,0.0,0.0,0.6548795,0.3513304,0.5300677,-0.40832353
263897660000000,-0.69593906,-0.74319106,-2.987808,0.0,0.0,0.0,0.6809165,0.3104516,0.5522817,-0.3673657
263897680000000,0.0,0.0,0.0,0.0,0.0,0.0,0.7062838,0.2632657,0.5723407,-0.32292485
263897700000000,-2.0026188,-1.6444261,-2.87951,-6.0833015,-1.1452196,0.82604253,0.73016864,0.2138891,0.5858655,-0.27904654
263897720000000,-1.0300417,-1.7229586,-2.93228,-5.159826,-1.0047206,0.9100365,0.75082886,0.17105189,0.5911701,-0.23982309
263897740000000,-0.16067982,-1.373281,-2.8180556,-4.7801733,-0.88147855,0.9621128,0.7555473,0.13483927,0.6060188,-0.2090646
263897760000000,-0.48822212,-1.1993132,-3.0656598,-4.866916,-0.8943067,1.0554224,0.7663804,0.10301451,0.6094769,-0.17489104
263897780000000,0.0,0.0,0.0,-5.2554264,-0.9505063,1.1242975,1.0,0.0,0.0,0.0
