timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
245411760000000,0.0,0.0,0.0,0.5670357,0.014202617,-0.1049161,0.6482958,-0.43787268,0.5344391,0.3199295
245411780000000,0.0,0.0,0.0,0.31520647,-0.06627888,-0.1339322,0.65076834,-0.43550885,0.53519845,0.31685212
245411800000000,-0.39803314,0.67848516,-0.0206106,-0.02321288,-0.17134771,-0.18127427,0.65255696,-0.43496016,0.53422755,0.31556317
245411820000000,-0.26404762,0.6730759,-0.06411916,-0.34208453,-0.23426682,-0.25060746,0.65344566,-0.4368226,0.53117687,0.3163006
245411840000000,-0.11968422,0.4358995,-0.15824866,-0.52839845,-0.2350304,-0.3109304,0.6536058,-0.44058493,0.526905,0.3178923
245411860000000,-0.07395363,0.2976427,-0.20809752,-0.56596667,-0.2209805,-0.34009922,0.65328765,-0.44539663,0.5221117,0.3197446
245411880000000,-0.07945347,0.2829349,-0.19987553,-0.5006041,-0.21090123,-0.33169982,0.6530599,-0.45004034,0.51745135,0.32127967
245411900000000,0.008132935,0.25007534,-0.13879204,-0.34468073,-0.19486602,-0.2857322,0.65316546,-0.45381555,0.51332515,0.3223721
245411920000000,0.101314545,0.229352,-0.13239735,-0.12018774,-0.16920967,-0.21166481,0.65387857,-0.4559745,0.510284,0.32270783
245411940000000,0.2111578,0.25965858,-0.2323479,0.08811731,-0.13454308,-0.12339478,0.65521765,-0.4562571,0.5085836,0.3222763
245411960000000,0.26681328,0.41772652,-0.33165246,0.18891008,-0.09437868,-0.04352415,0.6568591,-0.45508578,0.50811744,0.32132518
245411980000000,0.24058628,0.5405283,-0.407193,0.17394388,-0.053297993,0.02367103,0.6581439,-0.45354733,0.5082956,0.32058883
245412000000000,0.122873306,0.5112946,-0.41945475,0.11224649,-0.038331795,0.08536842,0.6588051,-0.45215648,0.5088162,0.3203692
245412020000000,0.07775879,0.4430704,-0.43836498,0.062155537,-0.045814894,0.1421789,0.6589748,-0.450893,0.50936747,0.3209245
245412040000000,0.11421585,0.32665944,-0.4868026,0.011301007,-0.055436023,0.17577648,0.65887123,-0.44962907,0.50992036,0.32203054
245412060000000,0.16502666,0.23680687,-0.5554472,-0.04062254,-0.051465396,0.18768835,0.65846765,-0.44862142,0.5103344,0.3236016
245412080000000,0.1377325,0.1527009,-0.58369553,-0.088728175,-0.035888333,0.18112154,0.65780663,-0.4479268,0.51072955,0.32528055
245412100000000,0.041282654,0.12989402,-0.61113745,-0.13973543,-0.022602014,0.15989397,0.6568377,-0.44774592,0.5109714,0.3271025
245412120000000,-0.009338379,0.07112527,-0.63775784,-0.20005837,-0.012675454,0.13454308,0.65564597,-0.44809258,0.5110003,0.32896844
245412140000000,-0.0040979385,0.010606289,-0.6220689,-0.23716843,0.0106901415,0.112704635,0.6541954,-0.4490074,0.5107978,0.3309175
245412160000000,-0.023447037,-0.14273834,-0.55160034,-0.20616703,0.04505131,0.10262536,0.6526263,-0.45013604,0.51070446,0.33262202
245412180000000,-0.10165882,-0.2705047,-0.49401826,-0.10827587,0.07452556,0.10934488,0.65122324,-0.4509027,0.5110405,0.33381546
245412200000000,-0.17533112,-0.31537676,-0.47276455,0.014660766,0.088728175,0.12660182,0.65022486,-0.4508465,0.51201403,0.33434513
245412220000000,-0.19098568,-0.34446216,-0.44836676,0.11484267,0.090713486,0.1423316,0.6496574,-0.44994718,0.513491,0.3343947
245412240000000,-0.10361004,-0.25707555,-0.4242234,0.15668693,0.091477074,0.14095716,0.6494052,-0.44849765,0.5152669,0.33410016
245412260000000,0.039221764,-0.21133399,-0.39811435,0.0,0.0,0.0,0.64917046,-0.44712982,0.5170261,0.33367163
245412280000000,0.084929466,-0.24681139,-0.370635,0.12034045,0.13347405,0.088728175,0.6488097,-0.4461292,0.51877135,0.33300322
245412300000000,0.01743126,-0.28855038,-0.28462476,0.11010846,0.14278975,0.07284568,0.6483103,-0.44551745,0.52039546,0.33225995
245412320000000,-0.0033855438,-0.3055868,-0.204409,0.11942416,0.13942999,0.072540246,0.6478532,-0.44489336,0.5220151,0.33144593
