accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
-0.7017493,0.28399372,-1.0988647,-0.28405234,0.78877974,-3.202003,0.58276844,-0.29257512,0.6577417,-0.3770365,244698401759110
-1.0914621,2.107685,-0.35975635,-0.49205196,0.9839512,-2.9988902,1.0,0.0,0.0,0.0,244698421717543
-0.731771,3.0405269,-0.7803149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244698441668346
0.0,0.0,0.0,-1.1896601,0.98990715,-2.4200954,0.52316,-0.34785002,0.65875167,-0.41394484,244698461611519
-0.21867657,4.4970217,0.6173486,-1.2673926,1.1175779,-2.1154263,0.5024738,-0.36350894,0.6624957,-0.42009628,244698481554695
0.0,0.0,0.0,-1.1940888,1.1417072,-1.7609718,1.0,0.0,0.0,0.0,244698501497868
-0.9537778,4.75206,1.3258103,0.0,0.0,0.0,0.46461642,-0.38706392,0.6721262,-0.42726997,244698521418155
0.0,0.0,0.0,-1.7620409,0.95829487,-1.3048081,0.44588843,-0.39962307,0.6789588,-0.4248529,244698541315552
-1.4876823,3.6494484,2.7193384,-2.1762075,0.7273878,-1.0665708,1.0,0.0,0.0,0.0,244698561243470
0.0,0.0,0.0,-2.0882428,0.5177083,-0.82253003,0.41228473,-0.42558637,0.6945522,-0.40803775,244698581201903
-1.0862086,1.1435637,2.3153884,-1.6070337,0.32085696,-0.6401868,1.0,0.0,0.0,0.0,244698601175595
-0.86151004,1.4739709,1.1763713,-1.2620476,0.1459968,-0.56123245,0.39252973,-0.4431602,0.7024458,-0.39509404,244698621164546
0.0,0.0,0.0,-1.2756393,0.056963183,-0.43172902,0.38502735,-0.45070338,0.7056799,-0.38811892,244698641138238
0.0,0.0,0.0,-1.3286319,-0.116980694,-0.40622538,0.38394728,-0.45518637,0.7057736,-0.38376236,244698661096671
0.0,0.0,0.0,0.0,0.0,0.0,0.38178712,-0.4619034,0.7054708,-0.37841094,244698681024586
0.0,0.0,0.0,-0.73929965,-0.464563,-0.43203443,0.38075238,-0.46893528,0.7039255,-0.37365255,244698700921983
0.0,0.0,0.0,-1.5387696,-0.5180137,-0.54504454,0.3757998,-0.480216,0.7045503,-0.36300948,244698720865158
0.0,0.0,0.0,0.0,0.0,0.0,0.37414888,-0.4909455,0.7022751,-0.35467565,244698740854107
1.1856551,-2.6483564,1.5041494,0.6638578,-0.7111999,-0.795652,0.3804309,-0.49611205,0.69259936,-0.3597936,244698760850689
0.0,0.0,0.0,0.0,0.0,0.0,0.38762316,-0.49935696,0.6806455,-0.37028715,244698780854898
0.5858464,0.523592,0.2243824,0.0,0.0,0.0,0.39357165,-0.50321066,0.6705722,-0.3771118,244698800805702
0.0,0.0,0.0,0.0,0.0,0.0,0.39750108,-0.5085908,0.6620995,-0.38072628,244698820703099
0.63230056,0.5921078,-0.8786607,0.0,0.0,0.0,0.39397058,-0.52737194,0.64946634,-0.38060412,244698860589449
0.0,0.0,0.0,-0.064751714,-0.52473325,-0.73823065,0.39365965,-0.5348127,0.64388764,-0.38002133,244698880547882
0.35168254,0.14809704,-0.44645596,0.0,0.0,0.0,0.39284575,-0.5420053,0.6390253,-0.3788788,244698900506316
0.0,0.0,0.0,0.0,0.0,0.0,0.39140442,-0.5495669,0.6342765,-0.37745482,244698920449490
-0.057011962,0.5546913,-0.24363947,0.0,0.0,0.0,0.38853928,-0.55817205,0.6298872,-0.37513125,244698940377405
0.02113086,0.8338938,-0.16628599,-0.5338962,-0.43783766,-0.83459467,0.38512295,-0.56715,0.6255089,-0.37250486,244698960328209
0.017820954,0.830493,0.43567634,-0.5421429,-0.40011674,-0.8553641,0.3812898,-0.5760823,0.6211153,-0.3700853,244698980301900
-0.17205104,1.1657915,0.16779041,0.0,0.0,0.0,0.37843555,-0.5836028,0.6164131,-0.36909255,244699000252705
0.014142573,1.5131512,-0.21741915,-0.22128594,-0.35628715,-0.7498371,0.37678248,-0.59019655,0.61138207,-0.36866668,244699020180620
-0.025601193,0.766839,-0.17469978,0.0,0.0,0.0,0.3753937,-0.59605706,0.606719,-0.36835808,244699040116165
0.0,0.0,0.0,0.06856962,-0.36911532,-0.44684792,0.3766017,-0.59952205,0.60248774,-0.36844677,244699060059338
-0.22407396,0.7737541,-1.3805113,0.0,0.0,0.0,0.36784154,-0.6106942,0.6052677,-0.3541131,244699080002514
-0.37125564,-0.46846485,-1.6576552,-0.45372015,-0.39904773,-0.28099802,0.36615625,-0.6155979,0.6039292,-0.3496259,244699099945687
0.0,0.0,0.0,-0.39354995,-0.40546182,-0.21731532,1.0,0.0,0.0,0.0,244699119896493
-0.42020166,-0.58278275,-1.624979,-0.40576723,-0.36942077,-0.12675454,0.3648235,-0.62313026,0.6018049,-0.341238,244699139854926
-0.3265888,-0.3196745,-1.0837994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244699159805729
0.0,0.0,0.0,-0.44944412,-0.40118575,-0.098807454,0.3631627,-0.63043183,0.6006134,-0.3315602,244699179748902
0.16271193,-0.1467247,-0.093176365,-0.3184135,-0.40301836,-0.1133155,1.0,0.0,0.0,0.0,244699199699708
0.0,0.0,0.0,-0.1255328,-0.42531493,-0.119729586,0.36463565,-0.63610405,0.59752536,-0.32461658,244699219658141
0.42767847,0.13985825,-0.22563314,-0.00015271631,-0.45570546,-0.088422745,1.0,0.0,0.0,0.0,244699239608944
0.0,0.0,0.0,0.020463986,-0.43020186,-0.023060163,1.0,0.0,0.0,0.0,244699259552117
0.0,0.0,0.0,0.0,0.0,0.0,0.37170017,-0.6405811,0.59254074,-0.31684437,244699279495293
0.8216035,0.32075405,-0.53065634,0.0,0.0,0.0,0.37235272,-0.642428,0.59191114,-0.31349787,244699299438466
0.9522949,0.2893467,-0.26332808,0.0,0.0,0.0,0.37348253,-0.6442776,0.59105587,-0.30995193,244699319389271
1.0110884,0.43113422,-0.30140162,-0.13408493,-0.45982882,0.050701816,0.37463933,-0.6463032,0.58994883,-0.30642787,244699339347704
0.97282684,0.39836836,-0.47462606,0.0,0.0,0.0,0.37207747,-0.65029305,0.5888107,-0.30328086,244699359298508
